Position,Title,Year,Runtime,Rated,Rating
1, Godzilla Minus One,2023,2h 4m,PG-13,7.7
2, Mission: Impossible - Dead Reckoning Part One,2023,2h 43m,PG-13,7.7
3, Animal,2023,3h 24m,Not Rated,6.2
4, Tiger 3,2023,2h 35m,Not Rated,5.7
5, Argylle,2024,2h 19m,PG-13,5.7
6, Furiosa: A Mad Max Saga,2024,2h 28m,R,7.6
7, Avatar: The Way of Water,2022,3h 12m,PG-13,7.5
8, Avatar,2009,2h 42m,PG-13,7.9
9, Zack Snyder's Justice League,2021,4h 2m,R,7.9
10, Karthikeya 2,2022,2h 30m,Not Rated,7.9
11, Ant-Man and the Wasp: Quantumania,2023,2h 4m,PG-13,6.0
12, Shazam! Fury of the Gods,2023,2h 10m,PG-13,5.9
13, Guardians of the Galaxy Vol,2023,2h 30m,PG-13,7.9
14, The Guardians of the Galaxy Holiday Special,2022,42m,TV-14,6.9
15, Fast X,2023,2h 21m,PG-13,5.7
16, Transformers: Rise of the Beasts,2023,2h 7m,PG-13,6.0
17, The Marvels,2023,1h 45m,PG-13,5.5
18, Blue Beetle,2023,2h 7m,PG-13,5.9
19, Dune: Part Two,2024,2h 46m,PG-13,8.5
20, Dune: Part One,2021,2h 35m,PG-13,8.0
21, The Legend of Maula Jatt,2022,2h 33m,Not Rated,8.7
22, Kantara,2022,2h 28m,Not Rated,8.2
23, Top Gun: Maverick,2022,2h 10m,PG-13,8.2
24, Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2
25, Everything Everywhere All at Once,2022,2h 19m,R,7.8
